
1	 0, 0, -1, 1, 1, 1, 0; 0, 0, -1, 0, 0, 1; -103; 34, 80, 88.21, 0.37, 7.07, 220.4, 58.79, 0.89, 56.06, 6.37, 57.74, 1.88, 12.75
2	 -1, -1, 1, 1, 1, 1, 1; 0, 0, -1, 0, 0, 1; -98; 33, 80, 90.52, 0.38, 7.07, 212.8, 65.15, 0.91, 57.7, 6.78, 66.3, 2.7, 11.75
3	 -1, 1, -1, 0, 0, 0, 0; 0, 0, -1, 0, 0, 1; -93; 32, 80, 90.8, 0.38, 7.11, 220.4, 83.75, 0.96, 52.39, 6.23, 55.63, 3.47, 10.75
4	 1, 1, 1, 0, 1, 1, 0; 0, 0, -1, 0, 0, 1; -88; 33, 80, 87.39, 0.36, 7.11, 273.6, 125.0, 1, 58.47, 5.64, 64.19, 4.29, 9.75
5	 0, -1, -1, 0, 0, 0, 1; 0, 0, -1, 0, 0, 1; -83; 33, 80, 86.4, 0.36, 7.16, 220.4, 68.35, 0.92, 54.93, 5.05, 52.75, 5.11, 8.75
6	 1, 1, -1, 0, 0, 1, 0; 0, 0, -1, 0, 0, 0; -79; 34, 80, 82.89, 0.35, 7.25, 222.3, 53.67, 0.87, 53.78, 4.42, 40.49, 5.99, 7.75
7	 1, 1, -1, 0, 0, 0, 1; 0, 0, -1, 0, 0, 0; -74; 35, 80, 82.4, 0.34, 7.31, 218.5, 37.4, 0.75, 51.96, 3.75, 27.35, 6.93, 6.75
8	 -1, 1, -1, 0, 1, 0, 0; 0, 0, -1, 0, 0, 0; -69; 34, 80, 81.45, 0.34, 7.38, 190.0, 17.96, 0.36, 46.63, 3.12, 35.09, 7.81, 5.75
9	 0, 1, -1, 0, 1, 0, 0; 0, 0, -1, -2, -1, 0; -64; 34, 80, 79.9, 0.33, 7.47, 161.5, -9.85, 0, 43.33, 2.49, 42.83, 8.69, 4.75

